Number of Matrix	Parallel TSP cost	Parallel cycle
49	1803	0 87 71 38 95 29 77 69 26 48 35 31 15 36 9 32 27 62 56 65 89 24 53 16 80 20 82 6 67 25 23 54 84 55 88 43 14 49 57 50 33 5 42 61 10 91 75 73 12 64 45 17 51 92 19 68 21 58 40 63 2 97 44 1 22 59 3 66 74 79 52 98 85 90 34 86 28 70 46 37 39 30 4 41 8 93 47 18 11 94 76 7 72 13 60 96 78 83 81 
50	1820	6 69 8 31 95 16 34 15 78 68 43 38 76 82 32 50 86 75 39 19 97 30 61 29 91 85 90 35 44 27 33 72 18 94 65 96 51 23 59 42 63 47 20 3 25 52 11 5 66 98 64 54 74 93 60 1 80 79 14 4 77 9 12 81 70 48 10 87 71 53 41 2 62 36 49 45 7 58 88 24 84 17 37 55 92 57 0 89 83 67 13 40 46 21 22 73 26 56 28 
51	1692	0 89 81 88 68 75 28 29 13 53 98 36 71 2 72 4 56 63 37 50 5 44 27 78 34 20 23 84 70 94 79 38 86 19 48 93 46 45 32 8 66 69 21 82 61 62 97 49 77 52 41 26 55 18 65 90 47 73 17 12 31 35 60 80 42 76 95 1 54 67 24 25 14 51 7 58 11 16 59 92 85 30 40 43 33 3 96 91 74 64 15 83 10 9 39 22 6 57 87 
52	1569	0 66 83 67 81 39 7 80 91 60 57 36 12 23 88 5 31 92 6 14 95 86 70 9 44 77 21 10 49 53 79 73 78 38 3 50 68 4 35 17 43 63 90 94 29 55 96 84 8 26 15 74 59 25 52 37 51 34 85 58 32 28 76 42 65 24 62 47 87 40 11 69 61 20 75 54 22 46 1 97 18 48 45 16 82 2 64 93 89 41 19 98 56 33 13 27 71 30 72 
53	1888	0 28 40 76 97 14 17 79 61 15 5 44 98 70 11 7 90 59 51 31 96 50 72 57 24 46 93 36 67 43 19 42 73 63 13 2 64 86 92 89 27 81 74 34 37 29 60 48 22 78 88 68 80 85 65 54 94 38 4 35 58 30 3 41 87 8 25 56 62 53 18 91 55 52 66 77 21 9 10 1 75 45 20 71 82 33 49 83 84 6 32 23 16 69 12 95 39 26 47 
54	1585	0 86 91 92 23 21 64 60 55 70 67 5 11 73 77 15 62 51 24 29 66 20 85 63 38 54 19 18 2 3 28 50 58 32 8 35 42 41 83 79 31 1 65 13 45 47 57 89 7 56 69 48 12 95 97 36 26 84 25 17 6 4 44 88 39 43 49 37 72 10 96 82 46 33 75 14 93 52 80 22 9 90 74 81 94 78 30 61 98 16 76 71 53 34 40 27 68 59 87 
55	1858	0 12 96 26 71 8 74 60 94 82 43 36 22 16 97 6 65 59 83 77 21 19 7 9 63 18 27 30 17 32 61 87 34 13 15 69 1 72 25 38 5 53 33 64 92 56 73 20 40 91 84 81 45 35 28 93 46 52 49 47 85 42 79 90 39 95 54 3 55 51 23 89 57 50 31 41 58 98 62 24 66 70 4 68 2 10 11 75 14 37 29 76 78 48 67 80 44 88 86 
56	1844	0 15 17 83 13 65 38 40 45 90 91 57 95 21 26 82 74 63 14 97 81 73 68 11 47 44 92 10 79 50 34 46 41 42 54 59 31 61 72 5 49 8 84 1 53 93 22 37 30 35 77 12 7 6 88 89 80 69 52 71 3 66 23 76 4 75 78 87 67 56 70 2 24 19 28 43 33 25 60 18 51 48 20 64 27 62 36 96 58 29 55 85 9 98 94 32 39 16 86 
57	1896	2 62 48 35 87 26 77 8 74 71 84 3 23 43 57 32 79 61 22 36 25 29 73 91 16 96 42 66 63 75 72 90 37 21 95 88 24 69 76 49 12 78 65 81 1 83 39 60 46 10 55 80 58 97 68 4 19 14 85 70 15 31 13 7 0 27 54 50 64 53 41 28 6 40 45 56 20 11 94 30 38 93 92 18 9 82 89 44 33 17 5 51 67 34 59 98 47 52 86 
58	1500	0 22 92 11 88 73 27 97 62 86 60 46 72 75 81 47 89 95 53 9 20 61 54 67 56 82 96 69 16 14 59 80 21 34 78 79 52 74 85 44 77 19 93 94 43 36 25 58 5 55 8 18 51 66 98 31 68 26 42 28 83 30 7 40 48 10 41 24 35 64 33 49 91 23 2 37 76 32 13 63 39 12 3 29 70 45 38 87 84 90 50 6 57 71 17 4 65 1 15 
59	1593	2 14 30 59 52 51 45 50 31 58 61 39 38 93 43 65 1 15 80 46 92 6 94 78 33 41 47 84 72 88 76 44 95 64 25 56 48 73 81 85 82 53 29 91 12 19 36 37 97 55 22 9 86 11 7 54 0 68 34 77 69 90 66 40 28 60 8 62 23 96 67 57 49 18 79 5 20 21 17 89 10 63 71 13 83 74 42 32 27 70 16 87 4 75 35 24 98 3 26 
60	1582	0 53 5 77 81 67 27 6 17 98 55 89 52 82 66 15 96 34 88 14 69 93 47 85 43 68 97 92 31 24 61 70 78 76 1 60 87 13 18 9 90 11 86 26 51 62 35 50 83 32 73 16 23 95 54 80 7 2 91 12 94 63 64 45 57 72 19 74 56 38 25 10 20 46 28 44 41 79 8 29 42 49 4 65 36 39 58 71 48 59 40 21 75 84 30 3 37 33 22 
61	1561	0 28 85 18 44 78 72 52 62 81 98 83 63 82 54 80 13 9 70 93 46 66 91 10 77 12 22 73 71 33 92 17 59 97 53 39 19 88 79 6 61 27 20 84 2 48 35 34 50 76 49 16 43 96 86 47 5 57 21 25 56 15 32 69 37 42 89 24 95 51 8 36 4 40 26 55 68 90 58 75 3 74 7 1 23 94 38 67 29 64 45 14 41 87 65 11 30 60 31 
62	1846	0 71 59 77 30 6 15 67 50 14 31 47 3 8 22 52 88 39 69 37 87 79 29 34 65 28 74 82 56 13 41 25 12 80 97 26 76 45 62 98 49 54 60 1 85 33 36 72 24 10 90 89 84 78 17 94 21 73 53 9 70 40 19 57 18 55 66 92 75 2 32 93 81 4 11 86 48 64 23 61 44 91 68 5 43 63 7 27 58 95 96 35 51 20 46 38 42 83 16 
63	1741	1 58 85 40 98 42 74 39 24 23 43 6 15 34 61 72 5 80 29 2 32 49 25 55 93 48 37 54 92 38 41 8 90 13 73 4 28 9 51 65 21 50 36 10 0 14 68 75 56 81 33 70 20 82 52 11 53 86 83 47 94 97 7 19 35 30 96 91 27 71 45 17 95 67 12 77 63 3 16 76 22 88 69 26 78 59 89 87 57 31 44 84 66 60 64 79 46 18 62 
64	1791	1 25 93 31 95 74 15 66 82 17 24 52 35 14 94 44 32 85 63 67 18 43 96 64 57 59 9 12 33 2 71 41 0 53 80 55 50 10 27 54 98 16 91 86 77 46 89 79 87 84 90 73 51 61 76 34 3 92 72 26 62 39 83 21 81 97 42 60 65 7 11 36 23 69 37 70 40 75 48 58 5 20 30 8 47 68 28 22 29 88 56 6 13 49 45 38 19 4 78 
65	1671	0 23 51 6 48 11 17 59 66 36 25 85 97 75 2 14 77 96 46 44 87 34 50 28 62 78 76 57 39 64 53 47 8 60 3 61 20 18 68 69 98 54 38 92 93 15 74 9 27 86 4 32 89 10 33 82 45 24 83 73 21 81 80 91 42 7 95 72 84 70 79 56 30 43 35 12 19 22 58 94 88 71 31 41 29 37 55 40 65 52 26 1 16 90 67 63 49 13 5 
66	1660	0 25 62 18 5 22 13 32 91 78 83 93 23 20 2 76 47 48 56 89 54 86 29 36 1 10 73 11 28 34 63 44 92 19 98 66 81 26 88 60 14 67 71 42 8 70 85 41 30 6 59 50 65 7 4 96 84 45 69 46 68 17 80 61 31 58 82 79 77 94 95 40 64 49 75 39 27 74 52 3 87 12 90 35 97 57 15 53 51 9 55 38 43 33 21 24 16 72 37 
